Name,description,detection_result,detection_method,product_detection_result,impact,solution,insight,log_method,cvss,port,protocol,severity,references,plugin,identification,http_info,source,llm,target,host,cve,Quality of Detection (QoD),summary,quality_of_detection,urls,cert-bund,dfn-cert
Allowed HTTP Methods Enumeration,['Enumerates which HTTP methods are allowed.'],"['The following list contains the URLs and corresponding supported HTTP methods.', 'URL | HTTP Methods', 'http://wildfly9.trabalho_vulnnet:8080/ | GET,HEAD,POST']",['Sends multiple HTTP requests and checks the responses.'],[],[],['Manual inspection of directories to ensure compliance with company security standards.'],"['- Basic HTTP methods: GET, HEAD, POST, PUT, DELETE, CONNECT, OPTIONS, TRACE', '- Extended HTTP methods: ACL, BASELINE-CONTROL, BIND, CHECKIN, CHECK-OUT, COPY, LABEL, LINK, LOCK, MERGE, MKACTIVITY, MKCALENDAR, MKCOL, MKREDIRECTREF, MKWORKSPACE, MOVE, ORDERPATCH, PATCH, PRI, PROPFIND, PROPPATCH, REBIND, REPORT, SEARCH, UNBIND, UNCHECKOUT, UNLINK, UN-LOCK, UPDATE, UPDATEREDIRECTREF, VERSION-CONTROL']",['Sends multiple HTTP requests and checks the responses.'],['0.0'],,,LOG,['url: https://forum.greenbone.net/c/vulnerability-tests/7'],[],[],[],OPENVAS,llama4,openvas_jboss_wildfly_9.0.2.Final,172.31.1.21,,,,,,,
Services,['This plugin performs service detection.'],['A web server is running on this port'],[],[],[],[],"['This plugin attempts to guess which service is running on the remote port(s). For instance, it searches for a web server which could listen on another port than 80 or 443 and makes this information available for other check routines.']",['Details: Services'],['0.0'],,,LOG,[],[],[],[],OPENVAS,llama4,openvas_jboss_wildfly_9.0.2.Final,172.31.1.21,,,,,,,
HTTP Server type and version,"[""This script detects and reports the HTTP Server's banner which might provide the type and version of it.""]",['The remote HTTP Server banner is: Server: WildFly/9'],[],[],[],[],[],['Details: HTTP Server type and version'],['0.0'],,,LOG,[],[],[],[],OPENVAS,llama4,openvas_jboss_wildfly_9.0.2.Final,172.31.1.21,,,,,,,
HTTP Server Banner Enumeration,"['This script tries to detect / enumerate different HTTP server banner (e.g. from a frontend, backend or proxy server) by sending various different HTTP requests (valid and invalid ones).']","[""It was possible to enumerate the following HTTP server banner(s): Server banner | Enumeration technique ---------------------------------------------------------------------- Server: WildFly/9 | Valid HTTP 0.9 GET request to '/index.html' X-Powered-By: Undertow/1 | Valid HTTP 0.9 GET request to '/index.html'""]",[],[],[],[],[],['Details: HTTP Server Banner Enumeration'],['0.0'],,,LOG,[],[],[],[],OPENVAS,llama4,openvas_jboss_wildfly_9.0.2.Final,172.31.1.21,,,,,,,
Red Hat/JBoss WildFly Detection (HTTP),['HTTP based detection of Red Hat/JBoss WildFly.'],['Detected Red Hat/JBoss WildFly Version: 9 Location: 8080/tcp CPE: cpe:/a:redhat:wildfly:9 Concluded from version/product identification result: Server: WildFly/9'],[],[],[],[],[],[],['0.0'],,,LOG,[],[],[],[],OPENVAS,llama4,openvas_jboss_wildfly_9.0.2.Final,172.31.1.21,,,,,,,
Red Hat/JBoss WildFly Detection (HTTP),['HTTP based detection of Red Hat/JBoss WildFly.'],"['Detected Red Hat/JBoss WildFly', 'Version: 9', 'Location: 8080/tcp', 'CPE: cpe:/a:redhat:wildfly:9']",[],[],[],['Log Method'],[],['Log Method'],['0.0'],8080.0,tcp,LOG,['https://www.wildfly.org/'],[],[],[],OPENVAS,llama4,openvas_jboss_wildfly_9.0.2.Final,172.31.1.21,,,,,,,
CPE Inventory,"['This routine uses information collected by other routines about CPE identities of operating systems, services and applications detected during the scan.']","['172.31.1.21|cpe:/a:redhat:jboss_wildfly_application_server:9', '172.31.1.21|cpe:/a:redhat:wildfly:9', '172.31.1.21|cpe:/o:linux:kernel']",[],[],[],['Log Method'],[],['Log Method'],['0.0'],,,LOG,['https://nvd.nist.gov/products/cpe'],[],[],[],OPENVAS,llama4,openvas_jboss_wildfly_9.0.2.Final,172.31.1.21,,,,,,,
Hostname Determination Reporting,['The script reports information on how the hostname of the target was determined.'],"['Hostname determination for IP 172.31.1.21:', 'Hostname|Source', 'wildfly9.trabalho_vulnnet|Reverse-DNS', 'Hostname determination for IP 172.31.1.21: ', 'Hostname|Source ']",[],[],[],['Log Method'],[],"['Log Method', 'Log Method ', 'Details: Hostname Determination Reporting ', 'OID:1.3.6.1.4.1.25623.1.0.108449 ', 'Version used: 2022-07-27T10:11:28Z']",['0.0'],,,LOG,[],[],[],[],OPENVAS,llama4,openvas_jboss_wildfly_9.0.2.Final,172.31.1.21,,,,,,,
OS Detection Consolidation and Reporting,"['This script consolidates the OS information detected by several VTs and tries to nd the best matching OS. ', 'Furthermore it reports all previously collected information leading to this best matching OS. ', 'It also reports possible additional information which might help to improve the OS detection. ', 'If any of this information is wrong or could be improved please consider to report these to the referenced community forum.']","['Best matching OS: ', 'OS: Linux Kernel ', 'CPE: cpe:/o:linux:kernel ', 'Found by VT: 1.3.6.1.4.1.25623.1.0.102002 (Operating System (OS) Detection (ICM ->P)) ', 'Concluded from ICMP based OS fingerprint ', 'Setting key ""Host/runs_unixoide"" based on this information']",[],[],[],[],[],"['Log Method ', 'Details: OS Detection Consolidation and Reporting ', 'OID:1.3.6.1.4.1.25623.1.0.105937 ', 'Version used: 2026-01-21T05:50:46Z']",['0.0'],,,,['url: https://forum.greenbone.net/c/vulnerability-tests/7'],[],[],[],OPENVAS,llama4,openvas_jboss_wildfly_9.0.2.Final,172.31.1.21,,,,,,,
Traceroute,"['Collect information about the network route and network distance between the scanner host and  the target host.', 'Collect information about the network route and network distance between the scanner host and the target host.']","['Network route from scanner (172.30.0.2) to target (172.31.1.21): ', '172.30.0.2 ', '172.31.1.21 ', 'Network distance between scanner and target: 2', 'Network route from scanner (172.30.0.2) to target (172.31.1.21):', '172.30.0.2', '172.31.1.21']",[],[],[],[],"['For internal networks, the distances are usually small, often less than 4 hosts between scanner  and target. ', 'For public targets the distance is greater and might be 10 hosts or more.', 'For internal networks, the distances are usually small, often less than 4 hosts between scanner and target. For public targets the distance is greater and might be 10 hosts or more.']","['A combination of the protocols ICMP and TCP is used to determine the route. ', ""This method is  applicable for IPv4 only and it is also known as 'traceroute'."", ""A combination of the protocols ICMP and TCP is used to determine the route. This method is applicable for IPv4 only and it is also known as 'traceroute'.""]",['0.0'],,,LOG,[],[],[],[],OPENVAS,llama4,openvas_jboss_wildfly_9.0.2.Final,172.31.1.21,,,,,,,
IP Forwarding Enabled - Active Check,['Checks if the remote host has IP forwarding enabled.'],['It was possible to route a TCP packet through the target host and received an answer which means IP forwarding is enabled.'],[],[],[],[],[],['Sends a crafted Local Link Layer (LLL) frame and checks the response.'],['0.0'],,,LOG,['cve: CVE-1999-0511'],[],[],[],OPENVAS,llama4,openvas_jboss_wildfly_9.0.2.Final,172.31.1.21,,,,,,,
"Jenkins < 2.303.3, < 2.319 Multiple Vulnerabilities - Linux",['Jenkins is prone to multiple vulnerabilities.'],"['Installed version: 2.150', 'Fixed version: 2.319', 'Installation path / port: /']",['Checks if a vulnerable version is present on the target host.'],[],[],"['Update to version 2.319, 2.303.3 LTS or later.']","['The following vulnerabilities exist:', '- CVE-2021-21685, CVE-2021-21686, CVE-2021-21687, CVE-2021-21688, CVE-2021-21689, CVE-2021-21690, CVE-2021-21691, CVE-2021-21692, CVE-2021-21693, CVE-2021-21694, CVE-2021-21695: Bypassing path filtering of agent-to-controller access control', '- CVE-2021-21696: Agent-to-controller access control allowed writing to sensitive directory used by Pipeline: Shared Groovy Libraries Plugin', '- CVE-2021-21697: Agent-to-controller access control allows reading/writing most content of build directories']",[],['7.5'],,,HIGH,"['cve: CVE-2021-21685', 'cve: CVE-2021-21686', 'cve: CVE-2021-21687', 'cve: CVE-2021-21688', 'cve: CVE-2021-21689', 'cve: CVE-2021-21690', 'cve: CVE-2021-21691', 'cve: CVE-2021-21692', 'cve: CVE-2021-21693', 'cve: CVE-2021-21694', 'cve: CVE-2021-21695', 'cve: CVE-2021-21696', 'cve: CVE-2021-21697']",[],[],[],OPENVAS,llama4,openvas_jenkins_jenkins_2.150,172.31.1.49,,,,,,,
Jenkins < 2.154 and < 2.138.4 LTS Multiple Vulnerabilities - Linux,['Jenkins is prone to multiple vulnerabilities.'],"['Installed version: 2.150', 'Fixed version: 2.154']",['Checks if a vulnerable version is present on the target host.'],[],[],['Upgrade to Jenkins weekly to 2.154 or later / Jenkins LTS to either 2.138.4 or 2.150.1 or later.'],"['Jenkins is prone to the following vulnerabilities:', '- Code execution through crafted URLs (CVE-2018-1000861).', '- Forced migration of user records (CVE-2018-1000863).', '- Workspace browser allowed accessing les outside the workspace (CVE-2018-1000862).', '- Potential denial of service through cron expression form validation (CVE-2018-1000864).']",[],['9.8'],,,CRITICAL,"['cve: CVE-2021-21697', 'url: https://www.jenkins.io/security/advisory/2021-11-04/', 'dfn-cert: DFN-CERT-2021-2487', 'dfn-cert: DFN-CERT-2021-2308', 'cve: CVE-2018-1000861', 'cve: CVE-2018-1000862', 'cve: CVE-2018-1000863', 'cve: CVE-2018-1000864']",[],[],[],OPENVAS,llama4,openvas_jenkins_jenkins_2.150,172.31.1.49,,,,,,,
"Jenkins < 2.243, < 2.235.5 LTS Buffer Corruption in bundled Jetty - Linux",['Jenkins is prone to a buffer corruption in bundled Jetty.'],"['Installed version: 2.150', 'Fixed version: 2.243']",['Checks if a vulnerable version is present on the target host.'],[],['This vulnerability may allow unauthenticated attackers to obtain HTTP response headers that may include sensitive data intended for another user.'],"['Update to version 2.243, 2.235.5 LTS or later.']","['In Eclipse Jetty in case of too large response headers, Jetty throws an exception to produce an HTTP 431 error. When this happens, the ByteBuffer containing the HTTP response headers is released back to the ByteBufferPool twice. Because of this double release, two threads can acquire the same ByteBuffer from the pool and while thread1 is about to use the ByteBuffer to write response1 data, thread2 fills the ByteBuffer with response2 data. Thread1 then proceeds to write the buffer that now contains response2 data. This results in client1, which issued request1 and expects responses, to see response2 which could contain sensitive data belonging to client2 (HTTP session ids, authentication credentials, etc.).']",[],['9.4'],,,CRITICAL,[],[],[],[],OPENVAS,llama4,openvas_jenkins_jenkins_2.150,172.31.1.49,,,,,,,
Jenkins < 2.192 and < 2.176.3 LTS Multiple Vulnerabilities - Linux,['Jenkins is prone to multiple vulnerabilities.'],"['Installed version: 2.150', 'Fixed version: 2.192']",['Checks if a vulnerable version is present on the target host.'],[],[],"['Update to version 2.176.3 LTS, 2.192 weekly or later.']","['Stored XSS vulnerability in update center (CVE-2019-10383)', 'CSRF protection tokens for anonymous users does not expire in some circumstances (CVE-2019-10384)']",[],['8.8'],8080.0,tcp,HIGH,"['cve: CVE-2019-17638', 'url: https://www.jenkins.io/security/advisory/2020-08-17/', 'cert-bund: CB-K20/1023', 'dfn-cert: DFN-CERT-2021-0819', 'dfn-cert: DFN-CERT-2020-2762', 'dfn-cert: DFN-CERT-2020-2141', 'dfn-cert: DFN-CERT-2020-1837', 'dfn-cert: DFN-CERT-2020-1814']",[],[],[],OPENVAS,llama4,openvas_jenkins_jenkins_2.150,172.31.1.49,,,,,,,
"Jenkins < 2.228, < 2.204.6 LTS Multiple Vulnerabilities - Linux",['Jenkins is prone to multiple vulnerabilities.'],"['Installed version: 2.150', 'Fixed version: 2.228']",['Checks if a vulnerable version is present on the target host.'],[],[],"['Update to version 2.228, 2.204.6 LTS or later.']","['CSRF protection for any URL could be bypassed (CVE-2020-2160)', 'Stored XSS vulnerability in label expression validation (CVE-2020-2161)', 'Stored XSS vulnerability in le parameters (CVE-2020-2162)', 'Stored XSS vulnerability in list view column headers (CVE-2020-2163)']",[],['8.8'],,,HIGH,"['cve: CVE-2020-2160', 'cve: CVE-2019-10383', 'cve: CVE-2019-10384', 'url: https://jenkins.io/security/advisory/2019-08-28/', 'dfn-cert: DFN-CERT-2019-1972', 'dfn-cert: DFN-CERT-2019-1802']",[],[],[],OPENVAS,llama4,openvas_jenkins_jenkins_2.150,172.31.1.49,,,,,,,
"Jenkins < 2.228, < 2.204.6 LTS Multiple Vulnerabilities",['Jenkins is prone to multiple vulnerabilities.'],"['Installed version: 2.150', 'Fixed version: 2.228']",['Checks if a vulnerable version is present on the target host.'],[],[],"['Update to version 2.228, 2.204.6 LTS or later.']","['Jenkins is prone to multiple vulnerabilities:', '- CSRF protection for any URL could be bypassed (CVE-2020-2160)', '- Stored XSS vulnerability in label expression validation (CVE-2020-2161)', '- Stored XSS vulnerability in le parameters (CVE-2020-2162)', '- Stored XSS vulnerability in list view column headers (CVE-2020-2163)']",[],['8.8'],,,HIGH,"['cve: CVE-2020-2160', 'cve: CVE-2020-2161', 'cve: CVE-2020-2162', 'cve: CVE-2020-2163', 'url: https://jenkins.io/security/advisory/2020-03-25/', 'dfn-cert: DFN-CERT-2020-1441', 'dfn-cert: DFN-CERT-2020-0624']",[],[],[],OPENVAS,llama4,openvas_jenkins_jenkins_2.150,172.31.1.49,,,,,,,
"Jenkins < 2.214, < 2.204.2 LTS Authentication Bypass Vulnerability",['Jenkins is prone to an inbound TCP Agent Protocol/3 authentication bypass vulnerability.'],"['Installed version: 2.150', 'Fixed version: 2.214']",['Checks if a vulnerable version is present on the target host.'],[],[],"['Update to version 2.214, 2.204.2 LTS or later.']","['Jenkins includes support for the Inbound TCP Agent Protocol/3 for communication between master and agents.', 'While this protocol has been deprecated in 2018 and was recently removed from Jenkins in 2.214, it could still easily be enabled in Jenkins LTS 2.204.1, 2.213, and older.', 'This protocol incorrectly reuses encryption parameters which allow an unauthenticated remote attacker to determine the connection secret.', 'This secret can then be used to connect attacker-controlled Jenkins agents to the Jenkins master.']",[],['8.6'],,,HIGH,"['cve: CVE-2020-2099', 'url: https://jenkins.io/security/advisory/2020-01-29/#SECURITY-1682']",[],[],[],OPENVAS,llama4,openvas_jenkins_jenkins_2.150,172.31.1.49,,,,,,,
"Jenkins < 2.214, < 2.204.2 LTS Authentication Bypass Vulnerability - Linux",['Jenkins is prone to an inbound TCP Agent Protocol/3 authentication bypass vulnerability.'],"['Installed version: 2.150', 'Fixed version: 2.214', 'Installation path / port: /']",['Checks if a vulnerable version is present on the target host.'],[],[],"['Update to version 2.214, 2.204.2 LTS or later.']","['Jenkins includes support for the Inbound TCP Agent Protocol/3 for communication between master and agents. While this protocol has been deprecated in 2018 and was recently removed from Jenkins in 2.214, it could still easily be enabled in Jenkins LTS 2.204.1, 2.213, and older. This protocol incorrectly reuses encryption parameters which allow an unauthenticated remote attacker to determine the connection secret. This secret can then be used to connect attacker-controlled Jenkins agents to the Jenkins master.']",[],['8.1'],,,HIGH,"['cve: CVE-2020-2099', 'url: https://jenkins.io/security/advisory/2020-01-29/#SECURITY-1682', 'dfn-cert: DFN-CERT-2020-0207']",[],[],[],OPENVAS,llama4,openvas_jenkins_jenkins_2.150,172.31.1.49,,,,,,,
Jenkins < 2.164.2 LTS and < 2.172 Multiple Vulnerabilities - Linux,['Jenkins is prone to multiple vulnerabilities.'],"['Installed version: 2.150', 'Fixed version: 2.172', 'Installation path / port: /']",['Checks if a vulnerable version is present on the target host.'],[],[],['Update to version 2.164.2 (LTS) and 2.172 (weekly).'],"['Jenkins is prone to multiple vulnerabilities: ', '- Users who cached their CLI authentication would remain authenticated, because the x for CVE-2019-1003004 does not reject existing remoting-based CLI authentication caches (CVE-2019-1003049)', '- The f:validateButton form control for the Jenkins UI does not properly escape job URLs, resulting in a cross-site scripting (XSS) vulnerability exploitable by users with the ability to control job names (CVE-2019-1003050)', 'Jenkins is prone to multiple vulnerabilities:']",[],"['CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N', '8.0']",,,HIGH,"['cve: CVE-2019-1003049', 'cve: CVE-2019-1003050', 'url: https://jenkins.io/security/advisory/2019-04-10/', 'dfn-cert: DFN-CERT-2019-1326', 'dfn-cert: DFN-CERT-2019-0747']",[],[],[],OPENVAS,llama4,openvas_jenkins_jenkins_2.150,172.31.1.49,,,,,,,
"Jenkins < 2.275, < 2.263.2 Multiple Vulnerabilities - Linux",['Jenkins is prone to multiple vulnerabilities.'],"['Installed version: 2.150', 'Fixed version: 2.275']",['Checks if a vulnerable version is present on the target host.'],[],"['Successful exploitation would allow an attacker to:', '- achieve stored and/or reflected cross-site scripting', '- inject crafted content into Old Data Monitor that results in the instantiation of potentially unsafe objects when discarded by an administrator', '- create symbolic links that allow them to access files outside workspaces using the workspace browser', '- start up the application with unsafe legacy defaults after a restart', '- check for the existence of XML files on the controller file system where the relative path can be constructed as 32 characters', '- request or have legitimate Jenkins users request crafted URLs that rapidly use all available memory in Jenkins, potentially leading to out of memory errors', '- access plugin-provided URLs without having the actual permissions to do so.']","['Update to version 2.275, 2.263.2 LTS or later.']","['The following vulnerabilities exist:', '- Arbitrary file read vulnerability in workspace browsers (CVE-2021-21602)', '- XSS vulnerability in notification bar (CVE-2021-21603)', '- Improper handling of REST API XML deserialization errors (CVE-2021-21604)', '- Path traversal vulnerability in agent names (CVE-2021-21605)', '- Arbitrary file existence check in file fingerprints (CVE-2021-21606)', '- Excessive memory allocation in graph URLs leads to denial of service (CVE-2021-21607)', '- Stored XSS vulnerability in button labels (CVE-2021-21608)', '- Missing permission check for paths with specific prefix (CVE-2021-21609)', '- Reflected XSS vulnerability in markup formatter preview (CVE-2021-21610)', '- Stored XSS vulnerability on new item page (CVE-2021-21611)']",[],['8.0'],,,HIGH,"['cve: CVE-2021-21602', 'cve: CVE-2021-21603', 'cve: CVE-2021-21604', 'cve: CVE-2021-21605', 'cve: CVE-2021-21606', 'cve: CVE-2021-21607', 'cve: CVE-2021-21608', 'cve: CVE-2021-21609', 'cve: CVE-2021-21610', 'cve: CVE-2021-21611', 'url: https://www.jenkins.io/security/advisory/2021-01-13/', 'dfn-cert: DFN-CERT-2021-0376', 'dfn-cert: DFN-CERT-2021-0102', 'CVE-2021-21602', 'CVE-2021-21603', 'CVE-2021-21604', 'CVE-2021-21605', 'CVE-2021-21606', 'CVE-2021-21607', 'CVE-2021-21608', 'CVE-2021-21609', 'CVE-2021-21610', 'CVE-2021-21611', 'https://www.jenkins.io/security/advisory/2021-01-13/']",[],[],[],OPENVAS,llama4,openvas_jenkins_jenkins_2.150,172.31.1.49,,,,,,,
Jenkins CSRF Vulnerability (CVE-2023-35141) - Linux,['Jenkins is prone to a cross-site request forgery (CSRF) vulnerability.'],"['Installed version: 2.150', 'Fixed version: 2.400']",['Checks if a vulnerable version is present on the target host.'],[],[],"['Update to version 2.401.1 (LTS), 2.400 or later.']","['POST requests are sent in order to load the list of context actions. If part of the URL includes insufficiently escaped user-provided values, a victim may be tricked into sending a POST request to an unexpected endpoint by opening a context menu.']",[],"['8.0', '7.8']",,,HIGH,"['CVE-2023-35141', 'https://www.jenkins.io/security/advisory/2023-06-14/#SECURITY-3135', 'cert-bund: WID-SEC-2023-1471', 'dfn-cert: DFN-CERT-2023-1382']",[],[],[],OPENVAS,llama4,openvas_jenkins_jenkins_2.150,172.31.1.49,,,,,,,
Eclipse Jetty DoS Vulnerability (MadeYouReset) - Linux,"[""Eclipse Jetty is prone to a denial of service (DoS) vulnerability in the HTTP/2 protocol dubbed 'MadeYouReset'.""]","['Installed version: 9.4', 'Fixed version: 9.4.58', 'Installation path / port: 8080/tcp']",['Checks if a vulnerable version is present on the target host.'],"['cpe:/a:eclipse:jetty:9.4', 'Product: cpe:/a:eclipse:jetty:9.4', 'Method: Mort Bay / Eclipse Jetty Detection (HTTP)', 'OID: 1.3.6.1.4.1.25623.1.0.800953']",[],"['Update to version 9.4.58, 10.0.26, 11.0.26, 12.0.25, 12.1.0.beta3 or later.']","[""The vulnerability takes advantage of a design flaw in the HTTP/2 protocol - While HTTP/2 has a limit on the number of concurrently active streams per connection (which is usually 100, and is set by the parameter SETTINGS_MAX_CONCURRENT_STREAMS), the number of active streams is not counted correctly - when a stream is reset, it is immediately considered not active, and thus unaccounted for in the active streams counter. While the protocol does not count those streams as active, the server's backend logic still processes and handles the requests that were canceled. Thus, the attacker can exploit this vulnerability to cause the server to handle an unbounded number of concurrent streams from a client on the same connection. The exploitation is very simple: the client issues a request in a stream, and then sends the control frame that causes the server to send a RST_STREAM.""]",[],"['7.8', 'CVE-2025-5115', 'CVE-2025-8671']",8080.0,tcp,HIGH,"['CVE-2023-35141 is not related, consider https://www.eclipse.org/jetty/documentation/jetty-11/programming-guide/index.html#pg-security', 'cve: CVE-2025-5115', 'cve: CVE-2025-8671', 'url: https://github.com/jetty/jetty.project/security/advisories/GHSA-mmxm-8w33-wc4h', 'url: https://galbarnahum.com/posts/made-you-reset-intro', 'url: https://deepness-lab.org/publications/madeyoureset/', 'url: https://kb.cert.org/vuls/id/767506', 'url: https://thehackernews.com/2025/08/new-http2-madeyoureset-vulnerability.html']",[],[],[],OPENVAS,llama4,openvas_jenkins_jenkins_2.150,172.31.1.49,,,,,,,
"Jenkins < 2.528.3, 2.541 Multiple Vulnerabilities - Linux",['Jenkins is prone to multiple vulnerabilities.'],"['Installed version: 2.150', 'Fixed version: 2.541', 'Installation path / port: /']",['Checks if a vulnerable version is present on the target host.'],[],[],"['Update to version Jenkins 2.541, LTS 2.528.3 or later.']","['The following aws exist:', '- CVE-2025-67635: Jenkins does not properly close HTTP-based CLI connections when the connection stream becomes corrupted, allowing unauthenticated attackers to cause a denial of service.', '- CVE-2025-67636: A missing permission check in Jenkins allows attackers with View/Read permission to view encrypted password values in views.', '- CVE-2025-67637: Jenkins stores build authorization tokens unencrypted in job cong.xml les on the Jenkins controller where they can be viewed by users with Item/Extended Read permission or access to the Jenkins controller le system.', '- CVE-2025-67638: Jenkins does not mask build authorization tokens displayed on the job con- guration form, increasing the potential for attackers to observe and capture them.', ""- CVE-2025-67639: A cross-site request forgery (CSRF) vulnerability in Jenkins allows attackers to trick users into logging in to the attacker's account.""]",[],['7.8'],,,HIGH,"['cve: CVE-2025-67635', 'cve: CVE-2025-67636', 'cve: CVE-2025-67637', 'cve: CVE-2025-67638', 'cve: CVE-2025-67639', 'url: https://www.jenkins.io/security/advisory/2025-12-10/#SECURITY-3630', 'url: https://www.jenkins.io/security/advisory/2025-12-10/#SECURITY-1809', 'url: https://www.jenkins.io/security/advisory/2025-12-10/#SECURITY-783', 'url: https://www.jenkins.io/security/advisory/2025-12-10/#SECURITY-1166', 'cert-bund: WID-SEC-2025-2819', 'dfn-cert: DFN-CERT-2025-3457']",[],[],[],OPENVAS,llama4,openvas_jenkins_jenkins_2.150,172.31.1.49,,,,,,,
"Jenkins < 2.319.3, < 2.334 DoS Vulnerability - Linux",['Jenkins is prone to a denial of service (DoS) vulnerability.'],"['Installed version: 2.150', 'Fixed version: 2.334', 'Installation path / port: /']",['Checks if a vulnerable version is present on the target host.'],[],[],"['Update to version 2.334, 2.319.3 LTS or later.']","[""Jenkins is aected by the XStream library's vulnerability CVE-2021-43859. This library is used by Jenkins to serialize and deserialize various XML les, like global and job cong.xml, build.xml, and numerous others."", ""Jenkins is affected by the XStream library's vulnerability CVE-2021-43859.""]",[],['7.5'],,,HIGH,"['cve: CVE-2021-43859', 'cve: CVE-2022-0538', 'url: https://www.jenkins.io/security/advisory/2025-12-10/#SECURITY-1809', 'cert-bund: WID-SEC-2025-2819', 'dfn-cert: DFN-CERT-2025-3457']",[],[],[],OPENVAS,llama4,openvas_jenkins_jenkins_2.150,172.31.1.49,,,,,,,
Eclipse Jetty DoS Vulnerability (GHSA-7hcf-ppf8-5w5h) - Linux,['Eclipse Jetty is prone to a denial of service (DoS) vulnerability.'],"['Installed version: 9.4', 'Fixed version: 9.4.54']",[],['cpe:/a:eclipse:jetty:9.4'],[],"['Update to version 9.4.54, 10.0.18, 11.0.18, 12.0.3 or later.']",[],[],['7.5'],8080.0,tcp,HIGH,"['url: https://www.jenkins.io/security/advisory/2022-02-09/', 'cert-bund: WID-SEC-2026-0180', 'dfn-cert: DFN-CERT-2024-3407']",[],[],[],OPENVAS,llama4,openvas_jenkins_jenkins_2.150,172.31.1.49,,,,,,,
Eclipse Jetty DoS Vulnerability (GHSA-7hcf-ppf8-5w5h),['Eclipse Jetty is prone to a denial of service (DoS) vulnerability.'],"['Installed version: 9.4', 'Fixed version: 9.4.54', 'Installation path / port: 8080/tcp']",['Checks if a vulnerable version is present on the target host.'],"['Product: cpe:/a:eclipse:jetty:9.4', 'Method: Mort Bay / Eclipse Jetty Detection (HTTP)', 'OID: 1.3.6.1.4.1.25623.1.0.800953']",[],"['Update to version 9.4.54, 10.0.18, 11.0.18, 12.0.3 or later.']","[""There exists a security vulnerability in Jetty's DosFilter which can be exploited by unauthorized users to cause remote denial of service (DoS) attack on the server using DosFilter. By repeatedly sending crafted requests, attackers can trigger OutofMemory errors and exhaust the server's memory finally.""]",[],['7.5'],8080.0,tcp,HIGH,"['cve: CVE-2024-9823', 'url: https://github.com/jetty/jetty.project/security/advisories/GHSA-7hcf-ppf8-5w5h', 'url: https://www.eclipse.org/lists/jetty-announce/msg00193.html', 'cert-bund: WID-SEC-2024-3176', 'dfn-cert: DFN-CERT-2025-0835', 'dfn-cert: DFN-CERT-2025-0825', 'dfn-cert: DFN-CERT-2024-3046']",[],[],[],OPENVAS,llama4,openvas_jenkins_jenkins_2.150,172.31.1.49,,,,,,,
"Jenkins < 2.375.4 (LTS), < 2.394 Multiple Vulnerabilities",['Jenkins is prone to multiple vulnerabilities.'],"['Installed version: 2.150', 'Fixed version: 2.394']",[],[],[],[],[],[],[],,,HIGH,[],[],[],[],OPENVAS,llama4,openvas_jenkins_jenkins_2.150,172.31.1.49,,,,,,,
"Jenkins < 2.375.4 (LTS), < 2.394 Multiple Vulnerabilities - Linux",['Jenkins is prone to multiple vulnerabilities.'],"['Installed version: 2.150', 'Fixed version: 2.394', 'Installation path / port: /']",['Checks if a vulnerable version is present on the target host.'],[],[],"['Update to version 2.375.4 (LTS), 2.394 or later.']","['- CVE-2023-27899: Temporary plugin file created with insecure permissions', '- CVE-2023-24998, CVE-2023-27900, CVE-2023-27901: DoS vulnerability in bundled Apache Commons FileUpload library', '- CVE-2023-27902: Workspace temporary directories accessible through directory browser', '- CVE-2023-27903: Temporary file parameter created with insecure permissions', '- CVE-2023-27904: Information disclosure through error stack traces related to agents']",[],['7.5'],,,HIGH,"['cve: CVE-2023-27899', 'cve: CVE-2023-24998', 'cve: CVE-2023-27900', 'cve: CVE-2023-27901', 'cve: CVE-2023-27902', 'cve: CVE-2023-27903', 'cve: CVE-2023-27904', 'url: https://www.jenkins.io/security/advisory/2023-03-08/', 'cert-bund: WID-SEC-2025-0810', 'cert-bund: WID-SEC-2024-1652', 'cert-bund: WID-SEC-2024-1642', 'cert-bund: WID-SEC-2024-1637', 'cert-bund: WID-SEC-2024-1622', 'cert-bund: WID-SEC-2024-1238', 'cert-bund: WID-SEC-2024-0890', 'cert-bund: WID-SEC-2024-0888', 'cert-bund: WID-SEC-2024-0794', 'cert-bund: WID-SEC-2024-0124', 'cert-bund: WID-SEC-2024-0117', 'cert-bund: WID-SEC-2024-0054', 'cert-bund: WID-SEC-2023-2688']",[],[],[],OPENVAS,llama4,openvas_jenkins_jenkins_2.150,172.31.1.49,,,,,,,
"Jenkins < 2.356, < 2.332.4 LTS Information Disclosure Vulnerability (SECURITY-2566)",['Jenkins is prone to an information disclosure vulnerability.'],"['Installed version: 2.150', 'Fixed version: 2.356']",['Checks if a vulnerable version is present on the target host.'],[],[],"['Update to version 2.356, 2.332.4 LTS or later.']","['An observable timing discrepancy on the login form allows distinguishing between login attempts with an invalid username, and login attempts with a valid username and wrong password, when using the Jenkins user database security realm. This allows attackers to determine the validity of attacker-specified usernames.']",[],['7.5'],,,HIGH,[],[],[],[],OPENVAS,llama4,openvas_jenkins_jenkins_2.150,172.31.1.49,,,,,,,
