Description,Reference Information,Risk Information,name,plugin_id,severity,solution
"When the `secure` flag is set on a cookie, the browser will prevent it from being sent over a clear text channel (HTTP) and only allow it to be sent when an encrypted channel is used (HTTPS). The scanner discovered that a cookie was set by the server without the secure flag being set. Although the initial setting of this cookie was via an HTTPS connection, any HTTP link to the same server will result in the cookie being sent in clear text. Note that if the cookie does not contain sensitive information, the risk of this vulnerability is mitigated.","CWE 614, WASC Insufficient Transport Layer Protection, OWASP 2010-A9, 2013-A6, 2017-A3, 2021-A5, CVE -, BID -","CVSSV4 BASE SCORE 2.1, CVSSV4 VECTOR CVSS:4.0/AV:N/AC:H/AT:N/PR:N/UI:A/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N, CVSSV3 BASE SCORE 3.1, CVSSV3 VECTOR CVSS:3.0/AV:N/AC:H/PR:N/UI:R/S:U/C:L/I:N/A:N, CVSS BASE SCORE 2.6, CVSS VECTOR CVSS2#AV:N/AC:H/Au:N/C:P/I:N/A:N",Cookie Without Secure Flag Detected,98064,Low,"If the cookie contains sensitive information, then the server should ensure that the cookie has the `secure` flag set."
The scanner detected a cookie named 'cookieconsent_status' set with JavaScript without the Secure flag set.,https://owasp.org/www-community/HttpOnly,This vulnerability could allow an attacker to intercept the cookie and potentially perform session hijacking or other attacks.,Missing Secure Flag in Cookie,001,Medium,Ensure that the Secure flag is set for cookies to prevent them from being transmitted over insecure channels.
The scanner detected a cookie named 'language' set with JavaScript without the Secure flag set.,https://owasp.org/www-community/HttpOnly,An attacker could potentially intercept the cookie and access sensitive information.,Cookie Missing Secure Flag,001,Medium,Set the Secure flag for the 'language' cookie to ensure it is only sent over secure connections.
"The HTTP headers sent by the remote web server disclose information that can aid an attacker, such as the server version and technologies used by the web server.","CWE 200, WASC Information Leakage, OWASP 2017-A6, 2021-A1, 2013-A5, 2010-A6, 2023-API8, 2019-API7","CVSSV4 BASE SCORE 2.1, CVSSV3 BASE SCORE 3.1, CVSS BASE SCORE 2.6",HTTP Header Information Disclosure,98618,Low,Modify the HTTP headers of the web server to not disclose detailed information about the underlying web server.
"The server information (Google Frontend) is disclosed in the response headers, potentially providing attackers with information to exploit vulnerabilities specific to that server.",https://owasp.org/www-community/vulnerabilities/Information_Leakage,Attackers can use this information to target specific vulnerabilities in the server software.,Header Information Disclosure,001,Medium,Remove or obfuscate server information in response headers to prevent disclosure.
The server information (Google Frontend) is disclosed in the response headers.,https://owasp.org/www-community/attacks/Information_Disclosure,Attackers can use this information to target specific vulnerabilities in the server software.,Information Disclosure,001,Medium,Remove or obfuscate server information in response headers.
"The web application does not have a Content Security Policy (CSP) header set, which can leave it vulnerable to various types of attacks such as cross-site scripting (XSS).",https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Content-Security-Policy,Attackers could potentially exploit vulnerabilities in the web application through XSS attacks.,Missing Content Security Policy (CSP) Header,001,High,Implement a Content Security Policy (CSP) header to restrict the sources from which certain types of content can be loaded.
"The web application does not have the X-XSS-Protection header set, which can leave it vulnerable to cross-site scripting (XSS) attacks.",https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/X-XSS-Protection,Attackers could potentially inject malicious scripts into the web application.,Missing X-XSS-Protection Header,002,Medium,Enable the X-XSS-Protection header with a value of '1; mode=block' to protect against XSS attacks.
"The HTTP 'X-Content-Type-Options' response header prevents the browser from MIME-sniffing a response away from the declared content-type. The server did not return a correct 'X-Content-Type-Options' header, which means that this website could be at risk of a Cross-Site Scripting (XSS) attack.","{'CWE': 693, 'WASC': 'Application Misconfiguration', 'OWASP': ['2017-A6', '2013-A5', '2010-A6', '2023-API8', '2019-API7'], 'CVE': '-', 'BID': '-'}","{'CVSSV4 BASE SCORE': 2.1, 'CVSSV4 VECTOR': 'CVSS:4.0/AV:N/AC:H/AT:N/PR:N/UI:A/VC:L/VI:N/VA:N/SC:L/SI:L/SA:N', 'CVSSV3 BASE SCORE': 3.1, 'CVSSV3 VECTOR': 'CVSS:3.0/AV:N/AC:H/PR:N/UI:R/S:U/C:L/I:N/A:N', 'CVSS BASE SCORE': 2.6, 'CVSS VECTOR': 'CVSS2#AV:N/AC:H/Au:N/C:P/I:N/A:N'}",Missing 'X-Content-Type-Options' Header,112529,Low,Configure your web server to include an 'X-Content-Type-Options' header with a value of 'nosniff'.
The remote host supports the use of SSL/TLS ciphers that offer weak encryption (including RC4 and 3DES encryption).,"{'CWE': 326, 'WASC': 'Application Misconfiguration', 'OWASP': ['2010-A7', '2013-A6', '2017-A3', '2021-A2', '2023-API8', '2019-API7'], 'CVE': '-', 'BID': '-'}","{'CVSSV4 BASE SCORE': 2.3, 'CVSSV4 VECTOR': 'CVSS:4.0/AV:N/AC:H/AT:N/PR:N/UI:P/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N', 'CVSSV3 BASE SCORE': 3.7, 'CVSSV3 VECTOR': 'CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:N/A:N', 'CVSS BASE SCORE': 2.6, 'CVSS VECTOR': 'CVSS2#AV:N/AC:H/Au:N/C:P/I:N/A:N'}",SSL/TLS Weak Cipher Suites Supported,112539,Low,"Reconfigure the affected application, if possible to avoid the use of weak ciphers."
"Content Security Policy (CSP) is a web security standard that helps to mitigate attacks like cross-site scripting (XSS), clickjacking or mixed content issues. CSP provides mechanisms to websites to restrict content that browsers will be allowed to load. No CSP header has been detected on this host. This URL is flagged as a specific example.","CWE 1021, WASC Application Misconfiguration, OWASP 2017-A6, 2021-A4, 2013-A5, 2010-A6, 2023-API8, 2019-API7, CVE -","CVSSV4 BASE SCORE 2.1, CVSSV4 VECTOR CVSS:4.0/AV:N/AC:H/AT:N/PR:N/UI:A/VC:L/VI:N/VA:N/SC:N/SI:N/SA:N, CVSSV3 BASE SCORE 3.1, CVSSV3 VECTOR CVSS:3.0/AV:N/AC:H/PR:N/UI:R/S:U/C:L/I:N/A:N, CVSS BASE SCORE 2.6, CVSS VECTOR CVSS2#AV:N/AC:H/Au:N/C:P/I:N/A:N",Missing Content Security Policy,112551,Low,Configure Content Security Policy on your website by adding 'Content-Security-Policy' HTTP header or meta tag http-equiv='Content-Security-Policy'.
The URLs https://juice-shop-16-0-1-178712031365.us-west1.run.app/ftp/quarantine and https://juice-shop-16-0-1-178712031365.us-west1.run.app/b2b/v2/orders do not have a Content Security Policy defined.,https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Content-Security-Policy,The lack of a Content Security Policy increases the risk of XSS attacks on the web application.,Missing Content Security Policy,001,Medium,Implement a Content Security Policy to mitigate the risk of cross-site scripting (XSS) attacks.
"The HTTP 'Cache-Control' header is used to specify directives for caching mechanisms. The server did not return or returned an invalid 'Cache-Control' header which means page containing sensitive information (password, credit card, personal data, social security number, etc) could be stored on client side disk and then be exposed to unauthorised persons. This URL is flagged as a specific example.","CWE 525, WASC Application Misconfiguration, OWASP 2017-A6, 2021-A4, 2013-A5, 2010-A6, 2023-API8, 2019-API7, CVE -, BID -","CVSSV4 BASE SCORE 2.1, CVSSV3 BASE SCORE 3.7, CVSS BASE SCORE 2.6",Missing 'Cache-Control' Header,112553,Low,Configure your web server to include a 'Cache-Control' header with appropriate directives. If page contains sensitive information 'Cache-Control' value should be 'no-store' and 'Pragma' header value should be 'no-cache'.
The endpoint https://juice-shop-16-0-1-178712031365.us-west1.run.app/rest/products/1/reviews does not have a Cache Control header defined.,https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Cache-Control,This can lead to sensitive information being cached on the client side or intermediary servers.,Missing Cache Control Header,001,Medium,Add a Cache Control header to the response to control caching behavior.
The URL https://juice-shop-16-0-1-178712031365.us-west1.run.app/socket.io/?EIO=4&transport=polling&t=PPlDpDO does not have a Cache-Control header defined.,https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Cache-Control,"Without a Cache-Control header, the response may be cached by intermediate proxies or browsers, leading to potential security risks.",Missing Cache-Control Header,001,Medium,Add a Cache-Control header to the response to control caching behavior.
The URL https://juice-shop-16-0-1-178712031365.us-west1.run.app/rest/products/search?q= does not have a Cache Control header defined.,https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Cache-Control,This can lead to sensitive information being stored in caches and potentially exposed to unauthorized users.,Missing Cache Control Header,002,Medium,Add a Cache Control header to the response to control caching behavior.
"Web Applications can sometimes expose web applications users in various places such as HTML comments, JavaScript code or API requests. By leveraging this information, an attacker can gather information and build further attacks against the target application.","CWE 16, 200, WASC Application Misconfiguration, Information Leakage, OWASP 2021-A5, 2017-A6, 2021-A1, 2013-A5, 2010-A6, 2023-API8, 2023-API3, 2019-API3, 2019-API7","CVSSV4 BASE SCORE 2.3, CVSSV3 BASE SCORE 3.7, CVSS BASE SCORE 2.6",Username Disclosure,114615,Low,Avoid disclosing usernames in your application content.
The scanner identified one or more `Generic` username(s) on the target page.,https://owasp.org/www-community/vulnerabilities/Information_Leakage,Exposure of usernames can lead to targeted attacks or unauthorized access.,Generic Username Disclosure,001,Medium,Ensure that sensitive information such as usernames are not exposed in HTTP responses.
SameSite is an attribute which can be set on a cookie to instruct the web browser if this cookie can be sent along with cross-site requests to help prevent Cross-Site Request Forgery (CSRF) attacks.,"https://blog.chromium.org/2019/10/developers-get-ready-for-new.html, https://cheatsheetseries.owasp.org/cheatsheets/Cross-Site_Request_Forgery_Prevention_Cheat_Sheet.html#samesite-cookie-attribute, https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Set-Cookie/SameSite, https://web.dev/samesite-cookies-explained","CVSSV4 BASE SCORE 2.1, CVSSV3 BASE SCORE 3.1, CVSS BASE SCORE 2.6",Cookie Without SameSite Flag Detected,115540,Low,"The SameSite attribute should be set in every cookie to enforce the expected result by developers. When using the 'None' attribute value, ensure that the cookie is also set with the 'Secure' flag."
Allows an attacker to trick a user into executing actions on a web application without their consent.,"CWE 352, WASC Cross-Site Request Forgery, OWASP 2013-A8, 2010-A5, 2021-A1, 2023-API8, 2019-API7",CVSS VECTOR CVSS2#AV:N/AC:H/Au:N/C:P/I:N/A:N,Cross-Site Request Forgery,N/A,Medium,Implement CSRF tokens and ensure all state-changing requests require authentication.
The scanner detected a cookie named 'language' set with JavaScript which does not have the 'SameSite' attribute set.,https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Set-Cookie/SameSite,This vulnerability could potentially lead to cross-site request forgery attacks.,Missing SameSite attribute in cookie,001,Medium,Set the 'SameSite' attribute for the cookie to prevent cross-site request forgery attacks.
Publishes the sitemap of the web application as seen by the scan. The list of all URLs that have been detected during the scan are available as an attachment.,Plugin Details,"The scan may reveal sensitive information about the web application's structure and URLs, potentially aiding attackers in identifying potential targets for exploitation.",Web Application Sitemap Vulnerability,98009,Info,
"The scan has discovered 5122 distinct URLs. Various URLs were not audited due to different reasons such as similarity to other pages, not within user-defined scan scope, redundancy with other processed URLs, file extension exclusions, target domain restrictions, and fragments not included in HTTP requests.",https://juice-shop-16-0-1-178712031365.us-west1.run.app/#/,Potential security vulnerabilities may remain undetected due to URLs not being audited.,Web Application Sitemap Instances,98009,Medium,Ensure all URLs are audited to identify potential security vulnerabilities.
"Provides a report of network timeouts encountered during the scan, showing URLs and the number of timeouts for each URL. Note that assessment will stop on any URLs in timeout state, and timeouts may increase significantly the overall duration of the scan.","CWE -
WASC -
OWASP -
CVE -
BID -","CVSSV4 BASE SCORE -
CVSSV4 VECTOR -
CVSSV3 BASE SCORE -
CVSSV3 VECTOR -
CVSS BASE SCORE -
CVSS VECTOR -",Network Timeout Encountered,98019,Info,"Check your web application logs and verify that it is functioning as expected and can handle significant amounts of traffic generated by the scanner. Additionally, the scan policy may be edited to optimize the performance settings."
"There are a number of HTTP methods that can be used on a webserver (`OPTIONS`, `HEAD`, `GET`, `POST`, `PUT`, `DELETE` etc.). Each of these methods perform a different function and each have an associated level of risk when their use is permitted on the webserver. By sending an HTTP OPTIONS request and a direct HTTP request for each method, the scanner discovered the methods that are allowed by the server.","CWE -
WASC -
OWASP -
CVE -
BID -","CVSSV4 BASE SCORE -
CVSSV4 VECTOR -
CVSSV3 BASE SCORE -
CVSSV3 VECTOR -
CVSS BASE SCORE -
CVSS VECTOR -",Allowed HTTP Methods,98047,Info,It is recommended that a whitelisting approach be taken to explicitly permit only the HTTP methods required by the application and block all others.
The scanner identified several HTTP methods that can be used for one or several URLs.,https://owasp.org/www-project-top-ten/OWASP_Top_Ten_2017/Top_10-2017_A6-Security_Misconfiguration,Attackers may exploit these HTTP methods to perform unauthorized actions on the web application.,Allowed HTTP Methods Instances,98047,Medium,Restrict the use of unnecessary HTTP methods to prevent potential security risks.
"The scanner identified some responses with a status code other than the usual 200 (OK), 301 (Moved Permanently), 302 (Found) and 404 (Not Found) codes. These codes can provide useful insights into the behavior of the web application and identify any unexpected responses to be addressed.","CWE -
WASC -
OWASP -
CVE -
BID -","CVSSV4 BASE SCORE -
CVSSV4 VECTOR -
CVSSV3 BASE SCORE -
CVSSV3 VECTOR -
CVSS BASE SCORE -
CVSS VECTOR -",Interesting Response,98050,Info,-
"The target web application allows the HTTP TRACE method, which can be used for cross-site tracing attacks.",https://www.owasp.org/index.php/Cross_Site_Tracing,An attacker could use the HTTP TRACE method to steal sensitive information such as cookies.,HTTP TRACE Method Enabled,98050,Medium,Disable the HTTP TRACE method in the web server configuration.
"The target web application returned a 500 Internal Server Error response, indicating a server-side issue.",https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/500,The server error could potentially lead to data loss or service disruption.,Internal Server Error (500),98050,High,Investigate the server logs to identify the root cause of the error and fix it.
"The application does not validate user input before processing it, which can lead to various security vulnerabilities such as SQL injection, cross-site scripting, and command injection.",https://owasp.org/www-project-top-ten/OWASP_Top_Ten_2017/Top_10-2017_A1-Injection,"Attackers can exploit this vulnerability to execute malicious code, steal sensitive information, or manipulate the application's behavior.",Missing Input Validation,001,High,Implement input validation mechanisms to ensure that user input is sanitized and safe for processing.
"The application is exposing sensitive data in the response headers, which can be intercepted by attackers and used for malicious purposes.",https://owasp.org/www-project-top-ten/OWASP_Top_Ten_2017/Top_10-2017_A3-Sensitive_Data_Exposure,"Attackers can intercept sensitive data and use it for identity theft, fraud, or other malicious activities.",Sensitive Data Exposure,002,Medium,Ensure that sensitive data is not exposed in response headers and implement proper encryption mechanisms to protect data in transit.
"The X-Frame-Options header is not set to 'DENY' or 'SAMEORIGIN', leaving the application vulnerable to clickjacking attacks.",https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/X-Frame-Options,Clickjacking attacks can lead to unauthorized actions being performed by users unknowingly.,Missing X-Frame-Options Header,001,Medium,Set the X-Frame-Options header to 'DENY' or 'SAMEORIGIN' to prevent clickjacking attacks.
The web application is returning a response code '500' which may indicate abnormal behavior and require further investigation.,https://owasp.org/www-community/HTTP_Response_Splitting,The '500' response code could indicate server errors or potential security vulnerabilities.,HTTP/2 500 Response Code,001,High,Investigate the cause of the '500' response code and address any underlying issues.
"A response with a 500 status code indicates an internal server error, which may be due to abnormal behavior of the target.",https://owasp.org/www-community/Http_Response_Splitting,The internal server error could potentially lead to service disruption or data loss.,HTTP 500 Response Code,001,High,Further investigation is required to identify the root cause of the error and address it.
A response with a response code '500' indicates a server error which may require further investigation to verify if this response is due to abnormal behavior of the target.,https://owasp.org/www-community/attacks/Server_Side_Request_Forgery,The server error could potentially lead to service disruption or data loss.,HTTP Response Code 500,001,High,Investigate the server error and address any underlying issues that may be causing abnormal behavior.
A response with a response code '400' indicates a bad request which may require further investigation to verify if this response is due to abnormal behavior of the target.,https://owasp.org/www-community/attacks/Injection,The bad request could potentially lead to unexpected behavior or security vulnerabilities.,HTTP Response Code 400,002,Medium,Investigate the bad request and ensure that the request is properly formatted and valid.
"The server responded with a HTTP 500 error code, indicating a potential abnormal behavior of the target.",https://owasp.org/www-community/HTTP_Response_Splitting,The HTTP 500 error could be exploited by attackers to disrupt the normal functioning of the web application.,HTTP 500 Error Response,001,High,Further investigation is required to identify the root cause of the error and address any potential vulnerabilities.
The server responded with a 502 status code which may indicate abnormal behavior.,https://owasp.org/www-community/vulnerabilities/502-response-code,Potential denial of service or data loss.,HTTP/2 502 response code,001,Medium,Investigate the cause of the 502 response code and address any underlying issues.
The server responded with a 500 status code which may indicate abnormal behavior.,https://owasp.org/www-community/vulnerabilities/500-response-code,Potential data loss or server compromise.,HTTP/2 500 response code,002,High,Investigate the cause of the 500 response code and address any underlying issues.
A response has been received with a response code '500' which may require further investigation to verify if this response is due to an abnormal behavior of the target.,https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/500,"The 500 response code indicates a server error, which could potentially lead to service disruption or data loss.",HTTP/2 500 Response Code,N/A,Medium,Investigate the cause of the 500 response code and address any abnormal behavior.
"The web application is returning a response code of 500, indicating a server error. This may require further investigation to verify if this response is due to abnormal behavior of the target.",https://owasp.org/www-community/Http_Response_Code_500,The server error could potentially lead to service disruption or data loss.,HTTP Response Code 500,N/A,Medium,Investigate the server error and address any underlying issues causing the abnormal behavior.
"The response headers do not include a Content Security Policy (CSP) header, which can help prevent various types of attacks such as Cross-Site Scripting (XSS).",https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Content-Security-Policy,"Without a CSP header, the web application is more vulnerable to XSS attacks, which can lead to unauthorized access to user data or account takeover.",Missing Content Security Policy (CSP),001,Medium,Implement a Content Security Policy (CSP) header in the response headers to mitigate the risk of XSS attacks.
"The request headers include 'Upgrade-Insecure-Requests: 1', indicating that the browser should upgrade insecure requests to secure HTTPS connections. However, this may not be sufficient to protect against certain types of attacks.",https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Upgrade-Insecure-Requests,"Insecure requests can be intercepted and modified by attackers, leading to potential data leakage or injection attacks.",Insecure Request Headers,002,Low,Ensure that all requests are made over secure HTTPS connections to prevent potential security risks.
A response has been received with a response code '413' which may require further investigation to verify if this response is due to an abnormal behavior of the target.,https://owasp.org/www-community/HTTP_Response_Code_413,The abnormal response code could indicate a potential security vulnerability or misconfiguration in the target application.,HTTP Response Code 413,N/A,Medium,Investigate the cause of the abnormal response code and address any potential issues.
The server returned a response code '500' indicating an internal server error. Further investigation is needed to determine the cause of this error.,https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/500,The server error could potentially lead to service disruption or data loss.,HTTP/2 500 Error,001,High,Investigate the server logs to identify the root cause of the error and address any issues that may be causing it.
"This is an informational plugin to inform the user what technologies the framework has detected on the target application, which can then be examined and checked for known vulnerable software versions","CWE -
WASC -
OWASP -
CVE -
BID -","CVSSV4 BASE SCORE -
CVSSV4 VECTOR -
CVSSV3 BASE SCORE -
CVSSV3 VECTOR -
CVSS BASE SCORE -
CVSS VECTOR -",Web Application Scanning Detailed Scan Export,98059,Info,"Only use components that do not have known vulnerabilities, only use components that when combined to not introduce a security vulnerability, and ensure that a misconfiguration does not cause any vulnerabilities"
"The scanner collected the cookies returned by the application during the scan. The list includes the following information for each cookie: - Name: name of the cookie - Value: value of the cookie - Domain: hosts to which the cookie will be sent - Path: URL path which must exist in the requested resource before sending the cookie - Expires: maximum lifetime of the cookie as an HTTP-date timestamp - Max-Age: number of seconds until the cookie expires - HttpOnly: cookie is set to be not accessible via JavaScript, XMLHttpRequest and Request APIs - Secure: cookie will be sent to the server only when a request is made using HTTPS - SameSite: cookie will be sent along with cross-site request according the defined policy - URL: first URL discovered which set the cookie in its response - Set-Method: method used by the application to set the cookie (Set-Cookie or JavaScript) - Audited: cookie will be audited by plugins during the scan - Reason Not Audited: reason given for the cookie not being audited during the scan","https://developer.mozilla.org/en-US/docs/Web/HTTP/Cookies, https://en.wikipedia.org/wiki/HTTP_cookie, https://tools.ietf.org/html/rfc6265",CVSSV4 BASE SCORE - CVSSV4 VECTOR - CVSSV3 BASE SCORE - CVSSV3 VECTOR - CVSS BASE SCORE - CVSS VECTOR -,Cookies Collected,98061,Info,-
"Scanner has detected a common directory on the remote web server. Web applications are often made up of multiple files and directories. It is possible that over time some directories may become unreferenced (unused) by the web application and forgotten about by the administrator or developer. Because web applications are built using common frameworks, they contain common directories that can be discovered (independent of server). During the initial reconnaissance stages of an attack, cyber-criminals will attempt to locate unreferenced directories in the hope that the directory will assist in further compromise of the web application. To achieve this, they will make thousands of requests using word lists containing common names. The response headers from the server will then indicate if the directory exists.",http://httpd.apache.org/docs/2.0/mod/mod_access.html http://projects.webappsec.org/w/page/13246953/Predictable%20Resource%20Location https://www.nginx.com/resources/admin-guide/restricting-access-auth-basic/ https://www.owasp.org/index.php/Forced_browsing,CVSSV4 BASE SCORE - CVSSV4 VECTOR - CVSSV3 BASE SCORE - CVSSV3 VECTOR - CVSS BASE SCORE - CVSS VECTOR -,Common Directories Detection,98072,Info,"If directories are unreferenced, then they should be removed from the web root and/or the application directory. Preventing access without authentication may also be an option and can stop a client from being able to view the contents of a file; however, it is still likely that the directory structure will be able to be discovered. Using obscure directory names is implementing 'security through obscurity' and is not a recommended option."
The application is using cookies to store sensitive information such as language settings and user preferences. This can be exploited by attackers to steal user data.,https://owasp.org/www-community/HttpOnly,Attackers can potentially steal sensitive user information stored in cookies.,Cookie Security,001,High,"Implement secure cookie practices such as using HttpOnly and Secure flags, encrypting sensitive data, and validating cookie data on the server side."
The scanner identified a common directory 'ftp' which may be vulnerable to directory listing attacks. This can expose sensitive files and directories to attackers.,https://owasp.org/www-community/Directory_listing,Attackers can potentially access sensitive files and directories on the server.,Directory Listing,002,Medium,Disable directory listing on the server to prevent attackers from accessing sensitive information.
"The common directory 'reviews' was identified by the scanner, potentially allowing unauthorized access to sensitive information.",https://owasp.org/www-community/attacks/Directory_listing,Unauthorized access to sensitive information,Directory Listing,001,High,Disable directory listing for the 'reviews' directory to prevent unauthorized access.
"Private, or non-routable, IP addresses are generally used within a home or company network and are typically unknown to anyone outside of that network. Cyber-criminals will attempt to identify the private IP address range being used by their victim, to aid in collecting further information that could then lead to a possible compromise. Scanner discovered that the affected page returned a RFC 1918 compliant private IP address and therefore could be revealing sensitive information. This finding typically requires manual verification to ensure the context is correct, as any private IP address within the HTML body will trigger it.",CWE - WASC -,CVSSV4 BASE SCORE - CVSSV4 VECTOR - CVSSV3 BASE SCORE - CVSSV3 VECTOR - CVSS BASE SCORE - CVSS VECTOR -,Private IP Address Disclosure,98077,Info,"Identifying the context in which the affected page displays a Private IP address is necessary. If the page is publicly accessible and displays the Private IP of the affected server (or supporting infrastructure), then measures should be put in place to ensure that the IP address is removed from any response."
"Email addresses are typically found on 'Contact us' pages, however, they can also be found within scripts or code comments of the application. They are used to provide a legitimate means of contacting an organisation. As one of the initial steps in information gathering, cyber-criminals will spider a website and using automated methods collect as many email addresses as possible, that they may then use in a social engineering attack. Using the same automated methods, scanner was able to detect one or more email addresses that were stored within the affected page.","CWE -
WASC -
OWASP -
CVE -
BID -","CVSSV4 BASE SCORE -
CVSSV4 VECTOR -
CVSSV3 BASE SCORE -
CVSSV3 VECTOR -
CVSS BASE SCORE -
CVSS VECTOR -",E-mail Address Disclosure,98078,Info,E-mail addresses should be presented in such a way that it is hard to process them automatically.
Publishes the target information of the starting url as evaluated by the scan.,"CWE -
WASC -
OWASP -
CVE -
BID -","CVSSV4 BASE SCORE -
CVSSV4 VECTOR -
CVSSV3 BASE SCORE -
CVSSV3 VECTOR -
CVSS BASE SCORE -
CVSS VECTOR -",Web Application Scanning Detailed Scan Export: Web app scan Juice Shop & bWAAP,98136,Info,-
The 'access-control-allow-origin' header is set to '*' which allows any origin to access the resource. This can lead to Cross-Origin Resource Sharing (CORS) vulnerabilities.,https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Access-Control-Allow-Origin,This vulnerability can allow attackers to perform Cross-Site Request Forgery (CSRF) attacks and access sensitive data.,Access Control Allow Origin Misconfiguration,98136,Medium,Set the 'access-control-allow-origin' header to specific origins that are allowed to access the resource.
"Screenshot of the target web page, see attached image. This screenshot should show you the target page we are launching the scan against. If the image is not of the intended target page, please check the provided url in the scan configuration.","CWE -
WASC -
OWASP -
CVE -
BID -","CVSSV4 BASE SCORE -
CVSSV4 VECTOR -
CVSSV3 BASE SCORE -
CVSSV3 VECTOR -
CVSS BASE SCORE -
CVSS VECTOR -",Web Application Scanning Detailed Scan Export: Web app scan Juice Shop & bWAAP,98138,Info,-
Web app scan Juice Shop & bWAAP,N/A,N/A,Web Application Scanning Detailed Scan Export,98138,Informational,N/A
The scanner has detected the presence of a form during the crawling of the target web application. Details about the form are provided in the plugin output.,"CWE -
WASC -
OWASP -
CVE -
BID -","CVSSV4 BASE SCORE -
CVSSV4 VECTOR -
CVSSV3 BASE SCORE -
CVSSV3 VECTOR -
CVSS BASE SCORE -
CVSS VECTOR -",Form Detected,98148,Info,-
A form with no identifier has been detected on the URL https://juice-shop-16-0-1-178712031365.us-west1.run.app/b2b/v2/orders with no input fields,https://juice-shop-16-0-1-178712031365.us-west1.run.app/b2b/v2/orders,Potential for unauthorized data submission or manipulation,Form with no identifier,98148,Medium,Add proper identifiers and input fields to the form to improve security
A form with no identifier has been detected on the URL https://juice-shop-16-0-1-178712031365.us-west1.run.app/api-docs/ with input fields: download-url-input (text).,https://www.owasp.org/index.php/Top_10-2017_A3-Cross-Site_Scripting_(XSS),Potential for confusion and misuse of form data.,Form with no identifier,001,Medium,Add proper identifiers to the form elements to improve accessibility and security.
An external URL is an URL for which the Fully Qualified Domain Name (FQDN) is not the same as the web target URL one. The scanner detected the presence of external URLs on the target web application and have listed them based on two types : URLs with a domain name in common with the web target URL and all the other external URLs.,"CWE -
WASC -
OWASP -
CVE -
BID -","CVSSV4 BASE SCORE -
CVSSV4 VECTOR -
CVSSV3 BASE SCORE -
CVSSV3 VECTOR -
CVSS BASE SCORE -
CVSS VECTOR -",External URLs Vulnerability,98154,Info,-
The target application uses third party hostnames for 30 URLs.,https://owasp.org/www-community/attacks/Cross-site_Scripting_(XSS),The usage of third party hostnames can potentially lead to security vulnerabilities such as cross-site scripting (XSS) attacks or data leakage.,Third Party Hostname Usage,98154,Medium,Ensure that all URLs used in the application are from trusted sources and do not pose a security risk.
Permissions Policy provides mechanisms to websites to restrict the use of browser features in its own frame and in iframes that it embeds.,"CWE -
WASC -
OWASP -
CVE -
BID -","CVSSV4 BASE SCORE -
CVSSV4 VECTOR -
CVSSV3 BASE SCORE -
CVSSV3 VECTOR -
CVSS BASE SCORE -
CVSS VECTOR -",Missing Permissions Policy,98526,Info,Configure Permissions Policy on your website by adding 'Permissions-Policy' HTTP header.
A Feature-Policy header was found on the specified URLs but must be renamed to Permissions-Policy.,https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Feature-Policy,Potential security risk due to misconfiguration of headers.,Missing Permissions Policy Instances,98526,Medium,Rename the Feature-Policy header to Permissions-Policy.
A Feature-Policy header was found on the specified URL but must be renamed to Permissions-Policy.,https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Feature-Policy,This could lead to potential security risks as the header is not correctly named.,Feature-Policy Header,001,Medium,Rename the Feature-Policy header to Permissions-Policy.
A Feature-Policy header was found on the specified URL but must be renamed to Permissions-Policy.,https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Feature-Policy,Potential security misconfiguration leading to improper handling of features in the web application.,Feature-Policy header found,001,Medium,Rename the Feature-Policy header to Permissions-Policy.
No Permissions-Policy headers were found on the specified URL.,https://developer.mozilla.org/en-US/docs/Web/HTTP/Headers/Feature-Policy,"Without proper Permissions-Policy headers, the web application may be vulnerable to various attacks.",Missing Permissions-Policy header,001,Medium,Implement Permissions-Policy headers to control the permissions of the web application.
